filename,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,LEVEL_6,LEVEL_7
27-Left_jpg.rf.6b8ab6378bbf33813870a4d44f3ed26f.jpg,0,1,0,0,0,0,0
3-Right_jpg.rf.328297bb289143ad3aa1a30e663ff4fa.jpg,0,0,0,1,0,0,0
22-Top-Down_jpg.rf.a974526631c9862670508e3f16e5e89a.jpg,0,0,0,0,0,0,1
31-Right_jpg.rf.ff207758e05cb119b06ce798ab47c984.jpg,0,0,0,1,0,0,0
28-Right_jpg.rf.e15bad237dec7702ec0d95f1750a7f1e.jpg,0,1,0,0,0,0,0
34-Back_jpg.rf.24f966a5d6994df87c65126111529103.jpg,0,0,0,1,0,0,0
23-Left_jpg.rf.90debf840cc189a6cd8f2080ec362407.jpg,0,0,0,0,0,0,1
29-Front_jpg.rf.da6ff383b01f74eabe93ca16e688855d.jpg,0,0,0,0,0,1,0
32Top-Down_jpg.rf.a986afed9af53221afc16b4e502fd822.jpg,0,1,0,0,0,0,0
7-Front_jpg.rf.5eb8466dc9bea76fd1bd5c5015aece3a.jpg,0,0,0,0,0,1,0
9-Right_jpg.rf.b3953ab907b2272bd840da9a66c0a662.jpg,0,1,0,0,0,0,0
37-Back_jpg.rf.3ccc26731f8f0384812a65e4aee2e389.jpg,0,1,0,0,0,0,0
8-Back_jpg.rf.f51995ab9331ffe09376183ebd55acc1.jpg,0,0,0,0,1,0,0
29-Back_jpg.rf.7155017195aa859c9b4ca1ebbc63a5dd.jpg,0,0,0,1,0,0,0
32Left_jpg.rf.49a4642218d05a0ad8eaa8d6e43781c9.jpg,0,1,0,0,0,0,0
6-Front_jpg.rf.9d045ce9898bf618d77ab9ac3dd79f4b.jpg,0,0,0,0,1,0,0
9-Top-Down_jpg.rf.5542a1b3fabd46670e5672079632d02d.jpg,0,0,0,1,0,0,0
35-Left_jpg.rf.2508043b72d5acb075b80b72cf024a87.jpg,0,0,0,1,0,0,0
31-Top-Down_jpg.rf.0c82b5a97317c4f7c2986496f4534b68.jpg,0,1,0,0,0,0,0
23-Top-Down_jpg.rf.57da3af14b2711539c82a51912891eea.jpg,0,0,0,1,0,0,0
23-Front_jpg.rf.5fedcff67b89202ff8b89720fdbf8b1e.jpg,0,0,0,0,1,0,0
6-Right_jpg.rf.e703a9b2e405a2bd1d739be2340fc87e.jpg,0,1,0,0,0,0,0
29-Front_jpg.rf.5da96d2c718ae9441cd746e6ae811d76.jpg,0,0,0,0,0,1,0
