filename,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,LEVEL_6,LEVEL_7
33-Left_jpg.rf.abb211b0593ee1846893e3c5c97b7ff2.jpg,0,1,0,0,0,0
13-Front_jpg.rf.5d49743790af2ec50039b5ae690ee841.jpg,0,0,0,0,1,0
5-Front_jpg.rf.0bc1b3452379b62544e7531a5e692e05.jpg,0,0,0,0,0,1
23-Front_jpg.rf.78f0b19c94356f2743dab11ad0378978.jpg,0,0,1,0,0,0
16-Right_jpg.rf.30731d3bc491c791b872e939eaea95de.jpg,0,0,0,0,0,1
16-Back_jpg.rf.f2cc3b4ef806fd17976e64b1e9326a75.jpg,0,0,0,0,0,1
14-Front_jpg.rf.e1320f38eff765c828d6bb08f47a0dc4.jpg,0,0,0,0,0,1
17-Left_jpg.rf.dd7c2c57a0bff972388c9f2708005ebf.jpg,0,0,0,0,0,1
15-Left_jpg.rf.2b9c8fc52b069844ffb78b881c593e08.jpg,0,0,0,0,1,0
57-Right_jpg.rf.e64a604ae3d37348a46a52999d078d24.jpg,0,1,0,0,0,0
8-Top-Down_jpg.rf.a5de39b79bbbb5b5ae2eefcb8beeae2f.jpg,0,0,0,0,0,1
14-Back_jpg.rf.74a9ad244de1a68e0ab3930e782bdd41.jpg,0,0,0,0,1,0
14-Front_jpg.rf.1ab935e249d05038d539e2fba0686b3f.jpg,0,0,0,0,1,0
5-Left_jpg.rf.3b6f958ad27d430f10b015feb33d329e.jpg,0,0,0,0,0,1
7-Front_jpg.rf.53f7409249e4690cac516ef72505574a.jpg,0,0,0,0,0,1
14-Back_jpg.rf.f00fa30b8a171a3754a96284233eb3dc.jpg,0,0,0,0,0,1
13-Top-Down_jpg.rf.ada20b61a3d350c2e7ac941c374e2266.jpg,0,0,0,0,1,0
13-Right_jpg.rf.ddbf274608977bdfbd2e80abe3d4d802.jpg,0,0,0,0,1,0
23-Back_jpg.rf.5695a4939e17ab59dfd8f7813b251839.jpg,0,0,1,0,0,0
